,Simpson
mean_gapsize,0.7184615384615385
mean_stdpeakh,0.7146153846153847
sd_CD_AboveG,0.7138461538461538
sd_VDRpeak,0.71
sd_FHD,0.7092307692307692
mean_VDRpeak,0.7092307692307692
Cover1p5m_plot,0.7015384615384616
propMultiLayer,0.6961538461538461
sd_gapsize,0.6938461538461539
horzcover_woody,0.6884615384615385
mean_cvpeakh,0.686923076923077
sd_stdpeakh,0.6853846153846154
mean_meanpeakh,0.68
sd_maxH,0.68
mean_maxpeakh,0.6784615384615384
mean_CD_AboveG,0.6753846153846154
sd_nlayers,0.6746153846153846
mean_maxH,0.6746153846153846
sd_maxpeakh,0.6730769230769231
Cover0p25m_plot,0.6715384615384615
sd_cscore,0.67
sd_cvpeakh,0.67
Cover0p5m_plot,0.6653846153846154
sd_meanpeakh,0.6646153846153846
meanH_plot,0.6646153846153846
X25thPerc_plot,0.6638461538461539
mean_sdH,0.6576923076923077
horzcover_tree,0.6484615384615384
sd_sdH,0.6476923076923077
mean_nlayers,0.6276923076923077
X50thPerc_plot,0.6192307692307693
sd_maxHgrasslayer,0.6184615384615385
mean_PAI_AboveG,0.6169230769230769
sd_CD_G,0.6153846153846154
sd_sdHgrasslayer,0.6130769230769231
FHD_plot,0.6092307692307692
sd_CD_AboveGgrasslayer,0.6076923076923076
mean_CD_AboveGgrasslayer,0.6053846153846154
sd_PAI_AboveG,0.5915384615384616
sd_herbh,0.5915384615384616
stdH_plot,0.5876923076923077
sd_CD_Ggrasslayer,0.5861538461538461
mean_cscore,0.5853846153846154
X75thPerc_plot,0.5746153846153846
horzcover_shrub,0.5623076923076923
X98thPerc_plot,0.5484615384615384
mean_FHD,0.5423076923076923
Cover0p05m_plot,0.5407692307692308
mean_CD_G,0.5384615384615384
sd_PAI_G,0.5346153846153846
cv_nlayers,0.52
mean_sdHgrasslayer,0.5153846153846153
cscore_plot,0.5128010074843964
X100thPerc_plot,0.49923076923076926
mean_cvH,0.4969230769230769
mean_sdH_vegtype_shrub,0.4938461538461538
cv_cscore,0.4930769230769231
mean_cvHgrasslayer,0.4869230769230769
mean_herbh,0.4869230769230769
mean_maxHgrasslayer,0.47307692307692306
sd_sdH_vegtype_grass,0.46076923076923076
cv_herbh,0.46
mean_sdH_vegtype_grass,0.45
sd_cvHgrasslayer,0.44846153846153847
sd_sdH_vegtype_tree,0.44461538461538463
mean_sdH_vegtype_tree,0.41846153846153844
mean_PAI_G,0.4176923076923077
mean_CD_Ggrasslayer,0.41615384615384615
herbh_plot,0.3984615384615385
sd_sdH_vegtype_woody,0.37153846153846154
stdpeakh_plot,0.3391724381334484
mean_cvH_vegtype_grass,0.3346153846153846
cv_VDR,0.3230769230769231
mean_sdH_vegtype_woody,0.32
sd_VDR,0.3076923076923077
Cover0p0m_plot,0.3038461538461538
sd_sdH_vegtype_shrub,0.3030769230769231
maxpeakh_plot,0.2916680558830137
gapsize_plot,0.27756435082754244
sd_cvH_vegtype_tree,0.27307692307692305
mean_cvH_tree,0.26692307692307693
Y,0.2423076923076923
meanpeakh_plot,0.2406160883466575
sd_cvH,0.22846153846153847
nlayers_plot,0.18445122019355967
sd_cvH_vegtype_grass,0.13692307692307693
cv_ptoh,0.10461538461538461
VDRpeak_plot,0.10287050714557758
X,0.07307692307692308
horzcover_grass,-0.010769230769230769
cvpeakh_plot,-0.011934557981994212
cv_maxHgrasslayer,-0.023076923076923078
sd_cvH_vegtype_shrub,-0.03923076923076923
sd_cvH_vegtype_woody,-0.04461538461538461
sd_ptoh,-0.07307692307692308
mean_ptoh,-0.13230769230769232
mean_cvH_vegtype_woody,-0.1576923076923077
cv_FHD,-0.23307692307692307
mean_cvH_vegtype_shrub,-0.24769230769230768
cv_meanpeakh,-0.2569230769230769
cv_CD_Ggrasslayer,-0.2692307692307692
VDR_plot,-0.28815455925309275
horzcover_ground,-0.28846153846153844
ptoh_plot,-0.3007692307692308
cv_CD_G,-0.3769230769230769
mean_VDR,-0.39076923076923076
cv_maxH,-0.49538461538461537
cv_maxpeakh,-0.5584615384615385
cv_CD_AboveGgrasslayer,-0.5692307692307692
cv_CD_AboveG,-0.6630769230769231
cv_stdpeakh,-0.6838461538461539
cv_gapsize,-0.6915384615384615
cv_VDRpeak,-0.7053846153846154
cv_cvpeakh,-0.7107692307692308
