,Correlation,pvalue
mean_stdpeakh,0.7653846153846153,0.00031017443091099566
Cover0p5m_plot,0.7623076923076924,0.000303427126942331
mean_gapsize,0.76,0.00023142272510967527
sd_CD_AboveG,0.7515384615384615,3.524986047687443e-05
mean_CD_AboveG,0.7515384615384615,0.000300470057558332
Cover0p25m_plot,0.7469230769230769,0.00038572124861860325
Cover1p5m_plot,0.7453846153846154,0.00010922754584842226
X25thPerc_plot,0.7392307692307692,0.021346553567562168
mean_nlayers,0.7346153846153847,0.004903940343228687
horzcover_woody,0.7338461538461538,0.0003232754138355545
propMultiLayer,0.7276923076923076,0.00025840747588222484
mean_VDRpeak,0.7215384615384616,0.00028383122252193535
sd_VDRpeak,0.7176923076923077,0.0004964653666227145
sd_nlayers,0.7169230769230769,0.00046979225353964443
mean_maxH,0.7161538461538461,0.0005384526783617664
sd_cvpeakh,0.7146153846153847,0.00039300121714605334
mean_maxpeakh,0.7146153846153847,0.0004442816940732961
mean_cvpeakh,0.713076923076923,0.000293142682710596
sd_gapsize,0.7069230769230769,0.0033073837722579855
FHD_plot,0.6984615384615385,0.0007380188123679032
mean_meanpeakh,0.6953846153846154,0.000604688952729369
sd_FHD,0.6946153846153846,0.0005416025413358702
sd_cscore,0.6876923076923077,0.0005657367856955638
sd_stdpeakh,0.683076923076923,0.0037621764224062717
sd_maxH,0.6723076923076923,0.0048478007031759985
sd_meanpeakh,0.6707692307692308,0.00628973364555028
mean_cscore,0.666923076923077,0.003947166491995265
sd_maxpeakh,0.6630769230769231,0.005012845955594302
mean_sdH,0.66,0.0016294783172283698
X50thPerc_plot,0.6576923076923077,0.0034802215455305473
sd_herbh,0.6576923076923077,0.003002553120486652
horzcover_tree,0.6571477553271748,0.006574376351787561
mean_sdH_vegtype_shrub,0.65,0.003593845423374849
sd_CD_G,0.6492307692307693,0.0012523473281235977
sd_PAI_AboveG,0.6323076923076923,0.003659420057164119
sd_sdH,0.6307692307692307,0.013681101538521001
meanH_plot,0.6130769230769231,0.003293896430497459
mean_FHD,0.6030769230769231,0.003778575695457263
sd_CD_AboveGgrasslayer,0.5961538461538461,0.0028144583825247646
sd_maxHgrasslayer,0.5946153846153847,0.00563254731191222
sd_sdHgrasslayer,0.5923076923076923,0.004910849212559115
mean_PAI_AboveG,0.59,0.01489395566478328
mean_CD_AboveGgrasslayer,0.59,0.01118138024977277
sd_CD_Ggrasslayer,0.5584615384615385,0.006295153704084799
cv_nlayers,0.5507692307692308,0.010614261924646607
sd_PAI_G,0.5346153846153846,0.006486083757990464
X75thPerc_plot,0.5246153846153846,0.019738572609295894
mean_cvHgrasslayer,0.5223076923076924,0.01972919048606676
cv_cscore,0.5223076923076924,0.005621741534740391
