Soil,Treatment,Abundance,Richness,shannonH,Evenness
Black,Inside,2721,658,50.86102813652568,13.470194167495373
Black,Outside,1496,388,32.78939900492766,8.996981986228668
Red,Inside,2589,680,51.55872706260462,13.555396619298243
Red,Outside,1431,396,34.17154321252017,9.296820609801427
