Treatment,Abundance,Richness,shannonH,Evenness
Inside,41.80331615290002,5.7989297466771,0.16163878598963796,0.028414161794077863
Outside,23.615951344265948,5.207282350102038,0.15833709277736058,0.025261798696635862
