,logRichness
sd_sdHgrasslayer,0.6848471249286808
sd_CD_AboveG,0.6288930604801631
cv_VDR,0.6276320302171011
sd_PAI_G,0.6223601563252972
sd_maxHgrasslayer,0.6160648825545048
Cover0p25m_plot,0.6159490763363463
sd_stdpeakh,0.6009159608552113
mean_cscore,0.598011183772522
cv_CD_AboveG,0.594364375611335
FHD_plot,0.5857467610499968
sd_CD_AboveGgrasslayer,0.5784337097037312
Cover0p5m_plot,0.5637030039674158
sd_herbh,0.5547808974096838
sd_PAI_AboveG,0.5495416539216663
mean_CD_AboveG,0.5432592837418341
sd_maxpeakh,0.5421691372491378
mean_CD_AboveGgrasslayer,0.5384003254353533
mean_PAI_AboveG,0.5344746345176229
sd_nlayers,0.5207579413693627
sd_maxH,0.5171391474252918
cv_stdpeakh,0.5169298094920569
cv_gapsize,0.5132471388487443
mean_cvH,0.5118274315492574
mean_nlayers,0.5109408552100235
cv_maxpeakh,0.5091445724863356
sd_gapsize,0.4967565663292348
gapsize_plot,0.4865621237792495
sd_CD_G,0.48174420402716617
cv_CD_AboveGgrasslayer,0.4800498029329688
meanpeakh_plot,0.4734157557071234
horzcover_grass,0.47084106469349307
sd_ptoh,0.47077306952431464
horzcover_shrub,0.4671462545174777
sd_sdH_vegtype_shrub,0.4654593413405145
mean_cvpeakh,0.4647008187403273
mean_stdpeakh,0.4630379945584583
mean_gapsize,0.45872344001887205
mean_sdH,0.4569261143903246
Cover1p5m_plot,0.45251566212661737
cv_cvpeakh,0.44988484254415684
mean_maxH,0.4390624953278739
cv_ptoh,0.43388851576476917
horzcover_woody,0.42909370955243664
cv_VDRpeak,0.4267802393993112
cv_maxH,0.4261706196252424
mean_ptoh,0.4140812329964539
cv_meanpeakh,0.400270010620954
mean_meanpeakh,0.3989411479810383
cv_nlayers,0.3887604714245405
sd_meanpeakh,0.37404701976509525
mean_FHD,0.3664170163436975
X,0.36601947986490385
horzcover_ground,0.3595825270527645
mean_maxpeakh,0.34591263941059675
propMultiLayer,0.34404041830003557
horzcover_tree,0.3378911896810302
sd_FHD,0.33423734877024136
mean_cvHgrasslayer,0.3326087201419235
sd_sdH,0.330395838356667
mean_sdHgrasslayer,0.32928249745665056
mean_herbh,0.32578526434083743
mean_maxHgrasslayer,0.3230584815882684
mean_VDRpeak,0.31865102634872355
sd_VDRpeak,0.31339729020760887
cvpeakh_plot,0.3088475495886461
Cover0p0m_plot,0.2992445603028078
X75thPerc_plot,0.29626587728290976
Y,0.292512856986002
sd_CD_Ggrasslayer,0.2849536668304684
sd_VDR,0.2803329239759747
mean_cvH_vegtype_shrub,0.277745155158153
sd_sdH_vegtype_grass,0.2654747629088356
X50thPerc_plot,0.247278791653667
meanH_plot,0.23592688084574748
sd_cvpeakh,0.23481825710870705
mean_PAI_G,0.22389532579930058
cv_cscore,0.21846983017630364
ptoh_plot,0.16547397591972154
VDRpeak_plot,0.14860953509486813
mean_VDR,0.14430065495502625
sd_cvH,0.1440704658507086
sd_cscore,0.13811715552546464
nlayers_plot,0.12915234434693415
X98thPerc_plot,0.10907778527601764
X25thPerc_plot,0.07694762169896217
cv_maxHgrasslayer,-0.00145196874808029
mean_CD_G,-0.0014613434883727905
herbh_plot,-0.0039607215224792824
sd_cvHgrasslayer,-0.003963273541882195
cv_herbh,-0.007775246781072553
mean_sdH_vegtype_tree,-0.014434251670480513
cv_FHD,-0.014928116357398657
X100thPerc_plot,-0.015738976188922393
mean_sdH_vegtype_grass,-0.016793993472928648
mean_cvH_vegtype_grass,-0.01826720083340394
mean_sdH_vegtype_shrub,-0.020928920828860775
Cover0p05m_plot,-0.028684047696936332
VDR_plot,-0.02889773853720179
mean_CD_Ggrasslayer,-0.029389168380284048
cscore_plot,-0.03082405346029038
sd_sdH_vegtype_tree,-0.03231982120265986
sd_cvH_vegtype_grass,-0.032515268927778784
mean_cvH_vegtype_woody,-0.036640939129852335
cv_CD_G,-0.03819897540818129
sd_sdH_vegtype_woody,-0.03932918270818497
stdH_plot,-0.046829967672784356
sd_cvH_vegtype_shrub,-0.06538153835981397
cv_CD_Ggrasslayer,-0.06924424233326132
maxpeakh_plot,-0.07384345542544057
stdpeakh_plot,-0.09146101764068693
mean_sdH_vegtype_woody,-0.11069538043386284
sd_cvH_vegtype_tree,-0.1131732656900617
sd_cvH_vegtype_woody,-0.12669979064013237
mean_cvH_tree,-0.1303391355094039
