,logRichness
sd_FHD,0.6392160991506878
maxpeakh_plot,0.633696813246303
cv_maxpeakh,0.6192043773659268
cv_VDR,0.6044974352979939
sd_maxH,0.5997294163714209
mean_PAI_AboveG,0.5960607649369427
sd_maxpeakh,0.5943283059935087
cv_maxH,0.5913440259735624
sd_sdH_vegtype_woody,0.5876309468843903
sd_CD_AboveGgrasslayer,0.5731710451744115
Cover0p5m_plot,0.5721055935186888
horzcover_woody,0.5703689430858199
cv_stdpeakh,0.5644819536776936
cv_cvpeakh,0.5637720363153322
mean_CD_AboveGgrasslayer,0.5578408037774695
stdpeakh_plot,0.5555718784366888
cv_VDRpeak,0.5542738402918063
sd_herbh,0.5460339183296022
cv_CD_AboveG,0.5450205227558593
sd_sdHgrasslayer,0.5432275203440583
mean_cscore,0.5410992662763743
sd_PAI_AboveG,0.5402693416797602
sd_meanpeakh,0.5385175336855416
cv_gapsize,0.5321449197702409
sd_PAI_G,0.5296792914404964
mean_cvpeakh,0.5213830169103799
mean_VDRpeak,0.5192499278894057
FHD_plot,0.5098403967614005
propMultiLayer,0.5077932323388591
cv_CD_AboveGgrasslayer,0.5057521960721485
sd_stdpeakh,0.5034858696052
sd_cvH_vegtype_shrub,0.4949749397082716
sd_VDRpeak,0.4883187240297152
mean_maxHgrasslayer,0.48614209956018767
mean_ptoh,0.47744111014528196
sd_maxHgrasslayer,0.4754022755837239
horzcover_shrub,0.46605949127736046
sd_ptoh,0.46448330845395247
sd_cvHgrasslayer,0.46390026161558406
horzcover_grass,0.4562933465753162
X98thPerc_plot,0.45337219503110726
Cover0p25m_plot,0.4529418456858036
sd_gapsize,0.4509031220356147
mean_sdHgrasslayer,0.4446468079839349
X100thPerc_plot,0.4328688807900843
mean_stdpeakh,0.432037714884705
cv_ptoh,0.430231335839452
horzcover_tree,0.42868671352277177
cscore_plot,0.40078729657502765
X75thPerc_plot,0.39782975580503477
sd_CD_Ggrasslayer,0.39106496248203376
sd_sdH_vegtype_grass,0.3898695712644297
mean_maxH,0.38881638591243156
mean_CD_AboveG,0.3814787599583703
sd_cvpeakh,0.37146215002447036
sd_sdH_vegtype_tree,0.36904020658242376
X,0.36601947986490385
mean_herbh,0.3650766954550825
sd_cvH,0.36332309849814143
sd_CD_AboveG,0.3510883711946879
VDR_plot,0.3504406121587482
Cover1p5m_plot,0.3475270530391882
mean_cvH,0.3441718558632951
stdH_plot,0.3439630928942495
mean_gapsize,0.3388639676712934
mean_maxpeakh,0.3360298568193914
sd_cvH_vegtype_woody,0.32781128609127314
mean_FHD,0.3250867453890335
cv_nlayers,0.31218073442986166
sd_CD_G,0.30244343086441705
sd_nlayers,0.29461464706456036
mean_meanpeakh,0.2936010507162588
Y,0.292512856986002
mean_sdH_vegtype_shrub,0.2825604125726729
X50thPerc_plot,0.2804342834452557
herbh_plot,0.2763151876527475
sd_VDR,0.27476034133158317
meanH_plot,0.26828623044713007
mean_nlayers,0.2672644819652728
Cover0p0m_plot,0.2670341633935932
Cover0p05m_plot,0.23695115665232713
sd_sdH,0.23320029330551217
cv_meanpeakh,0.21820128547822365
cv_herbh,0.20016060761987897
cv_CD_G,0.1980532583850684
mean_sdH,0.1929256134336839
sd_cscore,0.1895858901929735
mean_cvHgrasslayer,0.17815651662984283
cv_maxHgrasslayer,0.17627861751205984
gapsize_plot,0.16472858168529791
X25thPerc_plot,0.15111305762738236
cv_cscore,0.1296017586261658
meanpeakh_plot,0.08488704654108302
mean_CD_G,-0.00177539640923019
cvpeakh_plot,-0.006305399298886627
nlayers_plot,-0.009986231961015335
mean_cvH_tree,-0.01475607812161428
mean_VDR,-0.023449534384561765
mean_sdH_vegtype_woody,-0.029298137624752307
horzcover_ground,-0.03094877477174407
mean_sdH_vegtype_grass,-0.03570638371198509
mean_cvH_vegtype_woody,-0.036220427103860864
sd_cvH_vegtype_grass,-0.03713062600130357
ptoh_plot,-0.05262964482302479
mean_PAI_G,-0.06745663957475667
mean_sdH_vegtype_tree,-0.06815939664500892
mean_cvH_vegtype_shrub,-0.06869035803292256
mean_CD_Ggrasslayer,-0.07134805535564048
sd_sdH_vegtype_shrub,-0.07209718199454329
mean_cvH_vegtype_grass,-0.08453614895384565
cv_CD_Ggrasslayer,-0.08948880945115878
VDRpeak_plot,-0.0999901059558983
cv_FHD,-0.10514285008692248
sd_cvH_vegtype_tree,-0.11065580887476045
