,Richness
mean_sdHgrasslayer,0.7011933818032827
mean_FHD,0.6805440265940346
cv_CD_Ggrasslayer,0.6779045190866618
cv_CD_AboveG,0.6677770038425103
horzcover_ground,0.6561342493497495
mean_herbh,0.6440597014581074
mean_maxHgrasslayer,0.6329400402845335
herbh_plot,0.6326341470740551
mean_cvHgrasslayer,0.627888791888607
FHD_plot,0.6175013868884337
sd_CD_AboveGgrasslayer,0.6071321187356863
mean_CD_Ggrasslayer,0.6061000363060834
sd_herbh,0.6046877006431393
mean_cvH_vegtype_grass,0.5865918340209806
cv_CD_G,0.5829968810345281
Cover0p05m_plot,0.5576304350172224
sd_CD_Ggrasslayer,0.5357530776884124
cv_herbh,0.5349692035261898
mean_PAI_G,0.5316255146674632
mean_CD_G,0.5256528348029137
sd_maxHgrasslayer,0.5235473533849708
sd_CD_G,0.49327454956301503
gapsize_plot,0.4893726209149238
cv_maxpeakh,0.48725680063421506
Cover0p5m_plot,0.46592701799971514
Cover0p25m_plot,0.4646079940327396
mean_meanpeakh,0.4609183798803226
sd_PAI_G,0.4505936869849164
sd_cvpeakh,0.44960535342609315
sd_PAI_AboveG,0.44615128834149
Y,0.4342478717065072
sd_sdHgrasslayer,0.43255265006531834
mean_VDR,0.42368845784184933
cv_FHD,0.41379692195207796
mean_CD_AboveGgrasslayer,0.4088499103656105
mean_CD_AboveG,0.4087905192154304
horzcover_grass,0.3987535579126106
cv_cvpeakh,0.39861840267152204
sd_CD_AboveG,0.39844306654842226
sd_sdH_vegtype_shrub,0.3870397039294959
mean_maxH,0.380585763017715
cv_VDRpeak,0.38020274816237
cscore_plot,0.37571558973147895
cv_CD_AboveGgrasslayer,0.3740071977776968
cv_meanpeakh,0.3707783626810709
cv_gapsize,0.3626662806839796
mean_sdH,0.355427943293407
cv_stdpeakh,0.35084913953636737
X,0.3507689483238961
nlayers_plot,0.3463649092272154
mean_cscore,0.3421969033576851
VDR_plot,0.34110077718509246
cv_maxHgrasslayer,0.33560226430190915
meanH_plot,0.326907665026206
mean_ptoh,0.31082392758092803
sd_cvHgrasslayer,0.2982348748122453
cvpeakh_plot,0.2766419225763678
mean_sdH_vegtype_grass,0.272742225908509
mean_PAI_AboveG,0.26880372166999905
X100thPerc_plot,0.25310640086546254
sd_cvH_vegtype_grass,0.23911851526979314
Cover1p5m_plot,0.23818563844906457
sd_sdH_vegtype_grass,0.2341552080419026
meanpeakh_plot,0.21866302165285925
sd_cvH_vegtype_tree,0.21269730138779885
VDRpeak_plot,0.2093375544019951
sd_maxH,0.2045876806913074
mean_maxpeakh,0.1897759767497989
mean_gapsize,0.18976632641176278
horzcover_woody,0.17334593944331925
sd_sdH,0.14922118350510194
mean_nlayers,0.13846307233559943
sd_cvH_vegtype_woody,0.12910564360513416
cv_cscore,0.12272091129624824
Cover0p0m_plot,0.11764992164932515
mean_cvH,0.09433731346202959
sd_meanpeakh,0.08701410021096151
sd_VDRpeak,-0.00028402576981534366
propMultiLayer,-0.00701620092335542
mean_VDRpeak,-0.009233890808135747
horzcover_tree,-0.010136526612924968
X75thPerc_plot,-0.010443317524894802
cv_ptoh,-0.010719987869721948
mean_cvpeakh,-0.012103262302829876
X25thPerc_plot,-0.012841647201253359
sd_maxpeakh,-0.016085860150672815
stdpeakh_plot,-0.01891429012598067
sd_FHD,-0.020500109327359795
mean_cvH_vegtype_shrub,-0.02129572519908507
sd_stdpeakh,-0.021805025895646146
sd_sdH_vegtype_woody,-0.023682587300608127
sd_ptoh,-0.02599491828557099
sd_cvH,-0.026266175477625886
sd_cvH_vegtype_shrub,-0.02874339147722793
X50thPerc_plot,-0.031908748506287665
mean_cvH_tree,-0.03419051150870844
mean_sdH_vegtype_shrub,-0.037801007653872176
maxpeakh_plot,-0.03978490134843948
mean_sdH_vegtype_woody,-0.04479875244756926
mean_sdH_vegtype_tree,-0.04599909217939446
mean_stdpeakh,-0.04950344064000145
horzcover_shrub,-0.04954800640236989
cv_VDR,-0.05767902340068343
sd_gapsize,-0.062317785261750025
mean_cvH_vegtype_woody,-0.07029050183668684
cv_maxH,-0.07717289940671357
sd_VDR,-0.07808468677160896
X98thPerc_plot,-0.07855394263899562
sd_sdH_vegtype_tree,-0.07870116118416126
stdH_plot,-0.09051636825596177
sd_cscore,-0.10206763569324018
sd_nlayers,-0.10828084745890632
cv_nlayers,-0.12000034989149455
ptoh_plot,-0.12367423101272568
