,Richness
mean_PAI_G,0.6709521570857153
cv_herbh,0.6328629348634629
herbh_plot,0.6192599482413659
mean_sdH_vegtype_grass,0.603747099827783
horzcover_woody,0.5820498554645127
mean_cvHgrasslayer,0.5642726197038523
mean_CD_Ggrasslayer,0.5636920204882963
X50thPerc_plot,0.5544560163099095
mean_gapsize,0.5459693161140604
sd_FHD,0.5367477906667539
sd_CD_Ggrasslayer,0.5190412512530387
mean_stdpeakh,0.5158184780909746
sd_cvHgrasslayer,0.5151718103136065
sd_PAI_AboveG,0.4900807158252903
horzcover_grass,0.48454653525619357
sd_sdH_vegtype_grass,0.4632925353575966
X,0.45315200935484545
mean_ptoh,0.4523698498132384
sd_herbh,0.4441149209447106
mean_cvpeakh,0.440896165455829
mean_cvH_vegtype_woody,0.4397970489762297
mean_maxH,0.43137039293865864
sd_maxpeakh,0.4218253835615101
cv_stdpeakh,0.4185112303302389
mean_cvH_vegtype_grass,0.41562818463182105
mean_maxpeakh,0.41329671284157654
mean_PAI_AboveG,0.4105435399439471
cv_ptoh,0.4064420247844084
X75thPerc_plot,0.4004700617192764
VDRpeak_plot,0.3956247877544523
cv_maxH,0.38819238586363086
sd_cvH_vegtype_grass,0.3729810774676021
sd_CD_G,0.3696470768803285
X25thPerc_plot,0.3646808805032797
cv_maxHgrasslayer,0.36151792840313
cv_gapsize,0.3498523979525576
cv_cvpeakh,0.3452915644425587
cv_CD_Ggrasslayer,0.3316943505630986
cv_maxpeakh,0.32713116410531545
Cover0p0m_plot,0.3269775761258295
sd_VDRpeak,0.3157753969702627
mean_CD_AboveGgrasslayer,0.3137987184309134
cv_CD_G,0.3073475661921276
horzcover_ground,0.3021803849430027
mean_VDRpeak,0.2989625739640689
sd_maxH,0.2800223528089053
sd_meanpeakh,0.27968256390667484
mean_sdH_vegtype_shrub,0.278487761336706
propMultiLayer,0.2767756534390999
Cover0p5m_plot,0.26849325837312144
mean_herbh,0.2647456942314903
gapsize_plot,0.2609847885353889
sd_VDR,0.2609293763526322
sd_cvH,0.2520667234205614
meanH_plot,0.24026869827719075
sd_sdHgrasslayer,0.23965964173089715
mean_nlayers,0.2083130629396778
sd_stdpeakh,0.19443682824164416
cv_meanpeakh,0.16515477729954495
stdpeakh_plot,0.15103653802851658
mean_cvH,0.1433435899030505
sd_CD_AboveGgrasslayer,0.1269516292141066
VDR_plot,0.11977314686892201
Y,0.11946692435680191
mean_CD_G,0.11418457867862998
sd_maxHgrasslayer,0.11097572908056237
cv_VDR,0.07253774991919804
cv_VDRpeak,0.027694119171737884
Cover1p5m_plot,0.010935038751236852
mean_meanpeakh,-0.00014603527980483477
sd_gapsize,-0.0008471153276099486
cv_CD_AboveG,-0.007811687449405191
sd_PAI_G,-0.008406591169412003
mean_sdH_vegtype_woody,-0.020118751351667186
sd_sdH,-0.022582560737181012
sd_cvH_vegtype_woody,-0.023144280124245853
Cover0p05m_plot,-0.02381541448202995
sd_cscore,-0.02486522238239708
sd_CD_AboveG,-0.02774625449721313
sd_ptoh,-0.03278835012679071
cv_nlayers,-0.03578382938720637
mean_sdH,-0.03653406363685274
mean_cscore,-0.04185383435806411
ptoh_plot,-0.043621958206342626
mean_cvH_tree,-0.046138028924906926
mean_sdHgrasslayer,-0.04886935533596937
X98thPerc_plot,-0.05743024477133574
maxpeakh_plot,-0.06630634574233518
mean_FHD,-0.06665010818126671
cvpeakh_plot,-0.06850322034854361
nlayers_plot,-0.06983068390484881
X100thPerc_plot,-0.07016114971519372
sd_nlayers,-0.07146854871781017
cv_CD_AboveGgrasslayer,-0.0717118362637974
stdH_plot,-0.07621699678125093
sd_cvpeakh,-0.07689002926960331
horzcover_shrub,-0.07871773134902948
sd_sdH_vegtype_woody,-0.07960107384248616
cv_FHD,-0.08278651992565234
cscore_plot,-0.08535177612863887
Cover0p25m_plot,-0.09764879290942297
mean_cvH_vegtype_shrub,-0.10530670530741304
meanpeakh_plot,-0.10646471892955756
mean_sdH_vegtype_tree,-0.11630742653820203
horzcover_tree,-0.13607518812925168
mean_maxHgrasslayer,-0.13990415469382356
mean_CD_AboveG,-0.14059288630003763
sd_cvH_vegtype_shrub,-0.1470537252855335
cv_cscore,-0.14824655846501322
mean_VDR,-0.15228496297998095
FHD_plot,-0.15314715054816563
sd_cvH_vegtype_tree,-0.16378853362425172
sd_sdH_vegtype_shrub,-0.17598984858985656
sd_sdH_vegtype_tree,-0.18730575404050498
