,shannonH
sd_sdH_vegtype_grass,0.7963198168535542
X100thPerc_plot,0.7648369722550508
cscore_plot,0.7460707218008169
cv_CD_AboveG,0.7376653807454306
maxpeakh_plot,0.7160917084221475
cv_gapsize,0.6878126016848826
sd_FHD,0.6810052617589287
cv_stdpeakh,0.6734990615795504
mean_sdH_vegtype_shrub,0.6599763893658238
mean_cvH_vegtype_shrub,0.6442296395851179
sd_sdH,0.6436883118023178
sd_CD_AboveG,0.6290075443180759
stdpeakh_plot,0.6253420184077334
sd_cvH,0.6221770500896847
cv_VDRpeak,0.6219379748363414
cv_cvpeakh,0.6179824284010134
sd_gapsize,0.6175809960710663
sd_stdpeakh,0.6159952658262783
sd_meanpeakh,0.6141768874940914
meanpeakh_plot,0.6122165625217378
FHD_plot,0.6110593996056628
sd_maxpeakh,0.6100078116338042
sd_nlayers,0.6055990752122467
ptoh_plot,0.5992227951993979
mean_cscore,0.5956501081159319
sd_maxH,0.5953174679899756
sd_cvpeakh,0.5926169368351453
sd_cvHgrasslayer,0.5904817125325084
stdH_plot,0.5886868997013309
sd_PAI_G,0.5883707209953556
mean_CD_AboveGgrasslayer,0.5880502822742506
sd_VDRpeak,0.5866445725139371
horzcover_grass,0.5822387347763136
X98thPerc_plot,0.5806580446501238
mean_sdHgrasslayer,0.5781967955365397
mean_maxHgrasslayer,0.577540200841764
Cover1p5m_plot,0.5756634227433719
propMultiLayer,0.5728652123417374
X25thPerc_plot,0.5641157352781614
mean_VDRpeak,0.5576935940957362
horzcover_shrub,0.5560923782432184
mean_gapsize,0.5551013261062652
Cover0p25m_plot,0.5548605346933634
cv_CD_AboveGgrasslayer,0.5544206401158635
cv_maxH,0.5537853411101867
X50thPerc_plot,0.5521219554727338
Y,0.5516688638828762
sd_cscore,0.5452188725940333
sd_CD_G,0.5410070291622262
Cover0p5m_plot,0.540801265610064
mean_cvpeakh,0.53767551158389
mean_PAI_AboveG,0.5364648866300873
mean_stdpeakh,0.5276363702989093
sd_CD_AboveGgrasslayer,0.5248629038988486
cv_meanpeakh,0.5176184297950467
sd_sdH_vegtype_woody,0.5169686976720008
sd_sdH_vegtype_shrub,0.514880863700278
mean_maxpeakh,0.5144394711816664
mean_maxH,0.5125683996819385
sd_cvH_vegtype_woody,0.5107657195641228
mean_cvH_tree,0.5077738983793945
mean_CD_AboveG,0.507663957583826
cv_herbh,0.5037947123166634
mean_cvHgrasslayer,0.5032341462133736
cv_cscore,0.5025847705617673
cv_nlayers,0.5006653460371158
meanH_plot,0.5004096545587647
sd_CD_Ggrasslayer,0.49928656232260243
horzcover_woody,0.4965107072584848
mean_herbh,0.4959589818719032
mean_cvH,0.4915795285714754
mean_nlayers,0.487403437010561
sd_PAI_AboveG,0.48562251073545937
sd_sdH_vegtype_tree,0.48427670313951704
sd_cvH_vegtype_grass,0.4751551481344718
X75thPerc_plot,0.47173032830988637
mean_cvH_vegtype_woody,0.4706767536175969
mean_FHD,0.4687094327736127
sd_cvH_vegtype_tree,0.46203669309106055
gapsize_plot,0.4607460324524744
mean_ptoh,0.45167947479973686
cv_maxpeakh,0.43334318511091335
mean_cvH_vegtype_grass,0.4229558186769887
mean_meanpeakh,0.41928967066814676
mean_sdH_vegtype_tree,0.4173064676445958
mean_sdH,0.41300668174360555
sd_ptoh,0.4097022136010575
Cover0p0m_plot,0.4091297633283154
herbh_plot,0.40296333133029627
cv_VDR,0.3951521626133756
horzcover_tree,0.3939656521011554
X,0.3845812538503541
sd_sdHgrasslayer,0.3819123208990228
sd_maxHgrasslayer,0.3692439438251713
sd_VDR,0.3394602492126446
mean_PAI_G,0.3300329045541819
Cover0p05m_plot,0.3148007329831019
mean_sdH_vegtype_woody,0.31304517490638617
cv_CD_Ggrasslayer,0.30635406470078985
cv_maxHgrasslayer,0.30128423464609705
mean_CD_G,0.30029942797049575
nlayers_plot,0.28898079351219425
cv_ptoh,0.2859542757860889
sd_cvH_vegtype_shrub,0.28143860285864
mean_sdH_vegtype_grass,0.21700112277768463
cv_CD_G,0.18589410105423054
mean_CD_Ggrasslayer,0.18380207249287275
sd_herbh,0.14319779720993317
mean_VDR,-0.0025254942227288524
cv_FHD,-0.016176755168288537
cvpeakh_plot,-0.02559461894070658
horzcover_ground,-0.02656958920661978
VDR_plot,-0.045465430348778924
VDRpeak_plot,-0.14765322947705606
