,shannonH
sd_sdH_vegtype_grass,0.6807043429783233
X50thPerc_plot,0.6503796122454774
Cover1p5m_plot,0.640016120942533
mean_meanpeakh,0.5988410300106417
mean_cscore,0.5955481842569593
mean_gapsize,0.590542351834683
mean_cvH,0.5835302116767372
sd_CD_G,0.5823364713584666
sd_herbh,0.5760505160306345
mean_maxH,0.5704140640483183
cv_VDR,0.5700383746357032
mean_maxpeakh,0.5688362762927117
mean_sdH_vegtype_grass,0.5645541509111762
mean_cvHgrasslayer,0.5641855382841245
horzcover_shrub,0.5566296864080919
Y,0.5516688638828762
sd_CD_Ggrasslayer,0.5490288075968107
X75thPerc_plot,0.5433624316004522
cv_CD_AboveGgrasslayer,0.5407195693672765
meanH_plot,0.5347892752344767
FHD_plot,0.5223722569548825
cv_cscore,0.519311808871957
cv_ptoh,0.5181094469416346
cv_herbh,0.5178760506710015
cv_nlayers,0.5078061345791901
sd_cvH_vegtype_woody,0.504085989747345
mean_nlayers,0.49919477058539474
mean_CD_AboveGgrasslayer,0.4969654495336109
horzcover_tree,0.49597008800950876
sd_CD_AboveG,0.49331594191347045
mean_sdH,0.49291056290127766
cv_CD_AboveG,0.4873191419931559
mean_stdpeakh,0.4780548515902044
sd_sdHgrasslayer,0.47488180643941674
Cover0p0m_plot,0.4742303008451333
sd_cvH_vegtype_tree,0.47127883199842563
cscore_plot,0.470837291747329
Cover0p5m_plot,0.47069890214576265
sd_meanpeakh,0.46501198924158055
mean_cvH_vegtype_woody,0.46172011114792494
mean_ptoh,0.45967353999444394
cv_VDRpeak,0.4570035486797847
horzcover_grass,0.4544081081382383
maxpeakh_plot,0.4519587705319937
sd_VDR,0.45178430961641075
cv_CD_Ggrasslayer,0.44886258797955536
Cover0p25m_plot,0.4377349122215604
mean_sdH_vegtype_tree,0.43582857306222506
X100thPerc_plot,0.43535119675850575
sd_sdH,0.4340806341952622
sd_CD_AboveGgrasslayer,0.43360341658933965
cv_gapsize,0.42940839445144635
cv_CD_G,0.4284275759401242
sd_nlayers,0.4271392368889903
stdpeakh_plot,0.4251867859913443
cv_stdpeakh,0.4198388185284189
sd_PAI_G,0.41260088587613614
sd_maxpeakh,0.4106736682091967
cv_cvpeakh,0.4058847166406964
sd_maxH,0.3930536957304303
horzcover_ground,0.392844642511636
mean_FHD,0.3922244941889312
mean_CD_AboveG,0.3915597880317465
sd_ptoh,0.38899166228701276
X,0.3845812538503541
mean_PAI_AboveG,0.3792195463400066
X25thPerc_plot,0.37297770134291636
sd_gapsize,0.3689035065806976
sd_sdH_vegtype_shrub,0.36212726046164334
sd_PAI_AboveG,0.35754617433250657
mean_sdHgrasslayer,0.35020470125573727
mean_cvH_vegtype_grass,0.3462415213582591
sd_cvHgrasslayer,0.34459782102080594
sd_cvpeakh,0.34282383076440526
sd_FHD,0.32450047672130494
gapsize_plot,0.3073698794641359
sd_stdpeakh,0.307016362961499
meanpeakh_plot,0.3054345552082494
sd_sdH_vegtype_woody,0.29927486650478885
mean_VDR,0.28711792653374857
cv_maxHgrasslayer,0.28139330853229055
horzcover_woody,0.27752832080353895
mean_sdH_vegtype_woody,0.27100739079892844
mean_cvH_vegtype_shrub,0.2682769142642584
mean_VDRpeak,0.2674728932158511
sd_maxHgrasslayer,0.25355688827055956
propMultiLayer,0.21538448223097123
mean_cvpeakh,0.2141266525496837
mean_maxHgrasslayer,0.204140722769322
mean_herbh,0.20110818761249596
cv_maxH,0.18335555432144493
cv_FHD,0.057254131949086656
ptoh_plot,0.0500484995389315
cv_maxpeakh,0.037185948164237086
Cover0p05m_plot,-0.006716729307647995
sd_cscore,-0.009860956190459902
mean_PAI_G,-0.010396753493140842
mean_CD_G,-0.010427398380977948
VDRpeak_plot,-0.012575921234724952
sd_cvH,-0.014920686869651867
cv_meanpeakh,-0.015649821192178948
nlayers_plot,-0.020758598457808475
mean_cvH_tree,-0.023197995180242792
sd_VDRpeak,-0.02417047505952752
sd_cvH_vegtype_shrub,-0.026197140232022242
sd_sdH_vegtype_tree,-0.028975679409554367
sd_cvH_vegtype_grass,-0.030757955606733667
mean_sdH_vegtype_shrub,-0.031010828956887337
mean_CD_Ggrasslayer,-0.04319576662668201
X98thPerc_plot,-0.050459034105911904
VDR_plot,-0.06628573485467637
herbh_plot,-0.0800053775430829
cvpeakh_plot,-0.09930793080710743
stdH_plot,-0.13654443309392406
