,shannonH
mean_cvH_vegtype_shrub,0.7817803213693068
cv_CD_AboveGgrasslayer,0.774211088984555
mean_sdH_vegtype_tree,0.7707564876201634
herbh_plot,0.7557622211047349
sd_cvH_vegtype_tree,0.7407649414169774
mean_cvH_tree,0.7324871412644347
mean_ptoh,0.7230106140964552
mean_cvH_vegtype_woody,0.7185817691857382
sd_cvH_vegtype_grass,0.7116340053177669
cv_herbh,0.7088681973016082
sd_cvH_vegtype_woody,0.7081723298930181
sd_PAI_G,0.6980727133134186
X,0.6964663411543978
horzcover_grass,0.6954369691135703
sd_sdH_vegtype_grass,0.6920156715618483
mean_PAI_G,0.6820504875038879
cv_maxHgrasslayer,0.6700814018680189
maxpeakh_plot,0.6664567062135395
cv_CD_Ggrasslayer,0.6649480814215436
mean_CD_Ggrasslayer,0.6612819108748867
mean_PAI_AboveG,0.6477632539603408
sd_cvHgrasslayer,0.6455799999350387
stdpeakh_plot,0.6453060456959946
gapsize_plot,0.6452668303374277
sd_ptoh,0.6436255067806408
mean_maxHgrasslayer,0.6435960206999354
mean_herbh,0.6412184976634877
ptoh_plot,0.6315305504782522
mean_CD_AboveGgrasslayer,0.6135967768464403
meanpeakh_plot,0.6130960858237681
cscore_plot,0.6067329406627264
horzcover_ground,0.5917782148471001
sd_sdH_vegtype_shrub,0.5835921252001879
nlayers_plot,0.5821822389571651
sd_cvH,0.5810356315315255
mean_sdHgrasslayer,0.5796787002919813
X100thPerc_plot,0.560898155052307
mean_cvHgrasslayer,0.5412938310018454
sd_VDRpeak,0.5321300273019741
mean_cvH,0.5314095246870666
X25thPerc_plot,0.5260433447633963
Cover0p0m_plot,0.5231028268986471
mean_VDRpeak,0.5207155441428104
sd_FHD,0.51841205883437
Y,0.5133884147332036
sd_CD_AboveGgrasslayer,0.4960401710232929
sd_PAI_AboveG,0.4677463850430934
propMultiLayer,0.45671185654238416
sd_cvH_vegtype_shrub,0.4559679225577309
horzcover_shrub,0.4378353445874202
sd_sdH_vegtype_woody,0.43155570674631294
X50thPerc_plot,0.43045880276457626
X75thPerc_plot,0.42801672887455366
sd_cvpeakh,0.3990433434064039
mean_sdH_vegtype_woody,0.39526034371596636
horzcover_woody,0.3640295081350852
cv_VDRpeak,0.34074044028923917
cv_maxH,0.330796549383518
cv_ptoh,0.3235043001283436
VDRpeak_plot,0.31551520662961074
cv_CD_AboveG,0.31298056796495194
sd_CD_Ggrasslayer,0.2948135213177201
cv_gapsize,0.2799381249523867
cv_cvpeakh,0.2747609596793135
X98thPerc_plot,0.27310266288919416
sd_herbh,0.237526194064782
sd_VDR,0.22345287057473823
mean_cvpeakh,0.18569591958677256
Cover0p25m_plot,0.13978937630683758
mean_gapsize,0.1388622183361921
sd_sdHgrasslayer,0.13723250885473404
cv_meanpeakh,0.12300857641371929
meanH_plot,0.05495358895911378
cv_stdpeakh,0.04084720599447268
mean_cvH_vegtype_grass,-0.0035702302246285456
mean_CD_AboveG,-0.005038944238409115
Cover0p5m_plot,-0.006304436243298461
cv_maxpeakh,-0.009906946307711273
mean_nlayers,-0.01190141051687199
mean_stdpeakh,-0.018716152516894624
mean_sdH_vegtype_shrub,-0.030192325562867772
sd_meanpeakh,-0.03196191055943842
sd_CD_G,-0.03321835190852607
cv_VDR,-0.0334656270883853
sd_CD_AboveG,-0.035840765924550766
sd_stdpeakh,-0.03889642067827648
cv_cscore,-0.0416248172276914
VDR_plot,-0.0583068144196508
sd_nlayers,-0.0640480472661702
FHD_plot,-0.06677345134555512
mean_cscore,-0.07643014386198566
sd_maxpeakh,-0.07825759620516948
sd_sdH_vegtype_tree,-0.0832991593269039
sd_gapsize,-0.08694562726873034
cv_CD_G,-0.08741109473555131
stdH_plot,-0.08825066648584379
sd_sdH,-0.09136397231631399
Cover1p5m_plot,-0.09199942672754613
mean_sdH_vegtype_grass,-0.09574945295701998
mean_CD_G,-0.09829160640158463
mean_VDR,-0.10131915038571382
mean_FHD,-0.10650554472441431
sd_cscore,-0.11040333914411793
sd_maxH,-0.11062411862248656
mean_maxpeakh,-0.11219911819953676
mean_sdH,-0.1147546735676821
mean_maxH,-0.11547040272791609
cv_nlayers,-0.11957234945462769
horzcover_tree,-0.12016592943644255
mean_meanpeakh,-0.12281916489822375
sd_maxHgrasslayer,-0.12779496698016146
cvpeakh_plot,-0.1378737324746293
Cover0p05m_plot,-0.14898902050889795
cv_FHD,-0.1500264926167274
